Comments,Sentiment
I worked worked at Amazon and if I took a toilet break I was deducted my wages and if I had a lunch break the same I was told many times to work twelve hour shifts or be sacked one day I was told to see the boss I was given a severe bollocking and was told I was a lazy waste of space I was constantly told I worked too slow and was a retarded monkey from my boss which was harsh,Negative
"Important to realise that not only is this messed up, but there are actually better shopping services out there now. It's not 2003 any more. Shop around.",Positive
What a heist?,Neutral
This loser thinks that getting a real job is investigative journalism.,Negative
My brother's work had loads of bottles of piss thrown over the fence from an Amazon warehouse down south.,Negative
"i worked for them for a month as a van driver, i had to give it thankfully as i got a new job, but my knees are yet to recover form the small van and the have to run around and the long driving that i had to do to complete deliveries in the day. having 400 plus packages to deliver.. i also worked as a packer for a mount and the whole of my left side of my upper body had repetitive strain disorder. honestly do not know how anyone can work there and a aplorde them all",Negative
"I worked for Amazon for a long time, now running my own business making more money and it's a million times easier. But there are things I actually miss about working there, such as the feeling of being part of a team, working hard, meeting so many new people all the time, and the general fast-paced environment. I definitely wouldn't recommend staying for years though, as the physical and mental exhaustion will take their toll.",Neutral
Amazon are a national tax-stealing tool. No country is stronger for it.,Positive
"amazon does a thing where they get all employees together for a required annual meeting where the building supervisor talks with the employees about pay and other information. (if you make it that long). During my annual meeting the employees would only talk about why we weren't being given the pay raises that were promised, as well as being upset about  2 months of mandatory overtime (2 hours extra each day. 10 hour -> 12 hour shifts). They ended the meeting early because they couldnt answer any of our questions. There was also a point when a deaf employee spoke about amazon's lack of respect for people with disabilities. They attempted to cutoff the deaf person, however their interpreter just kept going.",Negative
Im in the UK and I have no idea who this guy is... why the disguise? Interesting documentary though.,Neutral
"easy fix, ban amazon from the uk - watch and see if they change their tax location.",Neutral
"This is LEGENDARY!!!
MAN and your TEAM ,THANK YOU!!!
BE BLESSED!!!!!",Positive
Just deleted my account. Long overdue.,Neutral
Should be thankfull they have jobs and able to pay rent and not homeless!,Negative
this is great,Positive
"The pothole scheme is good... Until he reveals that he bought it via gift card, meaning that Amazon havent actually lost any money at all",Positive
The selling a bottle of piss initiative is a great way to give Amazon money.,Positive
You’re telling me I’d have to WORK?!,Neutral
that lawyer just sounds like a knob,Positive
"I worked as a delivery driver for DHL in Linwood, Paisley, Glasgow, over a 3 month contract for Xmas 2019/20. In the back of the vans there were always bottles of piss in the rubuish bags, even worse the back of the DHL vans were stinking of piss, it was seriously gross and a health and safety issue. The DHL drivers were a good lot but obviously stressed to the max as the times they had to complete drops and pick ups was always on the limit, driving like nutters to get the runs done on time. Crazy.",Negative
Modern slavery by a company that employs slave labour from manufacture to distribution and pays little or no taxes basically gutting economies of countries.People  should stop buying  worldwide and focus on buying locally to support their communities.Also bear in mind you're paying digitally destroying the use of cash which would mean totally slavery!!!!,Negative
So we found out that Amazon has weak pre-employment checks.,Negative
Its def apple juice have a drink test :S,Neutral
"I was amazon delivery driver, it was normal to piss in a bottle in back of van.",Negative
This is brilliant!,Positive
This documentary is too focussed on the person doing it rather than the content itself,Neutral
Clever boy,Positive
"""May not be suitable for viewers under 16"". So who is it made for? Anyone over this age is gonna see the cringe in the first 5min and stop watching",Positive
"@45:00 OMG you nailed it, the smile on your lawyers face. 😂",Positive
"I worked in a fulfilment centre during Covid for 3 months for 3 hours for 6 days a week. 4am-7am. My job was to count and scan products brought over to me by robots. It was dull and pretty lonely. 
But yes I can confirm you got told off for needing the loo as it affected productivity. You also were given “pods” half the way around from where you picked up your scanner and were made to answer why you took so long logging on. I was not kept on after my 3 months as my accuracy was just below the 98% it needed to be. (Basically you input 5 wrong counts in 3 hours, you’re not hitting the accuracy target) They don’t even say bye or even acknowledge I was on my last day.
There was no prison-like entrance. Just a place to scan when you entered and left.

Even though it wasn’t the greatest place to work, there are way worse jobs out there, and it’s pretty easy money for a couple of months. Weekly pay. I was an Event Manager in a well-respected hotel at the time furloughed, so it helped me out for a while.

I did leave with a knee injury which I had for about 6 months after, due to the constant kneeling down you have to do.",Negative
"Hats off to this guy, genius.",Neutral
Drink name...YOUR IN NRG DRINK! .......By using phonetics you aren't lying.,Neutral
"It's not Amazon, it is A Mason. The yellow smile-looking thing is actually an arrow showing you the A is pushed back a space and the Z is pointed at by the arrow to turn it round revealing an S, making the word Amazon A mason. Look where the smile/arrow starts and finishes.",Negative
"I had a mate once that worked for amazon...true to say its fuckin brainwashed the poor cunt. Turned into a completely different guy. I have a landscape gardening business and i said he could work for me, not spoke to him in nearly a year.",Negative
"its amazing how much trouble he can get into for this yet hes not even going super hard on them.. hes just playing them trying to get them to do right, if someone was real vengeful for what amazon do, people, they could do alot worse",Positive
25:28 Draco Malfoy is reborn,Neutral
I'd never get an Alexa you'd have to pay me alot of money to have one in my house.,Negative
After all that work and urin. Keep up the flow buddy.,Neutral
"Channel 4 Documentaries. have come a long way, was this already done on he laptop, with mates, or was the hole department Channel 4 Documentaries, on the background giving support, the heavy legwork,?",Positive
"For someone to win, someone has to lose, unfortunately 😮",Positive
How much money does that greedy bastard need? Give your workers better pay and better working conditions and you’ll still get record profits and a better workforce! Amazon are one of few major companies that could do this. It’s a disgrace that this can happen.,Positive
Amazon working conditions exposed and all it took was a mix of the estranged son of Boris Johnson and a less annoying Hbomberguy to do it. 😂,Negative
"Looks like I've made my last Amazon UK purchase!
I've worked in a firm that pushes 3.5 tonne drivers to 16 hour days, 6 days a week. 
I got a phone call whilst I was parked in a deliveries only bay on a red route in central London. Someone must've driven past & seen me or their satellite tracking flagged me as stationary too long. 
They phoned & said ""Why are you stationary & this better be good!""
I said ""I'm pi**ing into a bottle in the back of the van because if I take 5 minutes to find loo you freak out!""
I think I lasted seven months before I hit a brick wall (of fatigue and stress, not literally) and quit. 
I looked into constructive dismissal but because I hadn't done a year I couldn't use that. 
It was in their interests to burn a driver out inside 12 months otherwise all sorts of protections cut in. 
They all use 3.5 tonners instead of 7.5 tonners because Sprinters et al are faster and didn't need a tacho. If I ate on the move, peed in a bottle, didn't take breaks at all and used 85 as the speed limit I could just about manage to finish all my drops if there was no accidents, jams, weather etc.
Absolutely soul destroying!",Negative
